qid,question,answer,match1,num_evidence,num_gt_img,gt_img_idx,gt_steps,traj_id,match2,match3,match4,match_sum
floorplan303_28_701_1746815644_q16,Is CellPhone on the SideTable?,['No'],0.0,2,2,"[123, 1014]","[88, 700]",floorplan303_28_701_1746815644,1.0,1.0,0.0,2.0
floorplan210_24_847_1747019970_q45,Where did you move the WateringCan from the Ground?,['CoffeeTable'],0.0,2,4,"[1089, 1090, 1131, 1132]","[812, 846]",floorplan210_24_847_1747019970,1.0,0.0,1.0,1.0
floorplan230_14_713_1746889211_q18,Is TissueBox on the SideTable?,['No'],0.0,2,2,"[268, 819]","[196, 595]",floorplan230_14_713_1746889211,0.0,1.0,0.0,1.0
floorplan218_10_567_1745407406_q7,Is KeyChain on the Dresser?,['No'],1.0,2,2,"[576, 643]","[443, 495]",floorplan218_10_567_1745407406,1.0,1.0,1.0,3.0
floorplan202_17_427_1746001351_q5,Where did you move the RemoteControl from the TVStand?,['Sofa'],0.0,2,4,"[16, 17, 37, 38]","[12, 25]",floorplan202_17_427_1746001351,1.0,1.0,1.0,2.0
floorplan204_25_861_1747031544_q5,Is CreditCard on the Shelf?,['No'],1.0,2,2,"[169, 333]","[120, 229]",floorplan204_25_861_1747031544,1.0,1.0,0.0,3.0
floorplan211_26_726_1746786652_q4,Is CreditCard on the Sofa?,['No'],0.0,2,2,"[62, 907]","[42, 642]",floorplan211_26_726_1746786652,0.0,1.0,0.0,1.0
floorplan201_20_714_1746850044_q6,Is RemoteControl on the SideTable?,['No'],0.0,2,2,"[120, 921]","[88, 680]",floorplan201_20_714_1746850044,0.0,1.0,0.0,1.0
floorplan215_14_422_1746006324_q38,How many times did you move CreditCard?,[2],1.0,2,4,"[457, 458, 478, 479]","[333, 349]",floorplan215_14_422_1746006324,0.0,1.0,0.0,2.0
floorplan323_12_513_1745033040_q12,Is Pen on the SideTable?,['No'],1.0,2,2,"[1, 318]","[0, 250]",floorplan323_12_513_1745033040,1.0,0.0,1.0,2.0
floorplan213_20_719_1746893227_q28,Where did you move the Box from the Dresser?,['Sofa'],0.0,2,4,"[230, 231, 250, 251]","[175, 189]",floorplan213_20_719_1746893227,0.0,1.0,0.0,1.0
floorplan229_18_614_1747089320_q16,Is Pencil on the Dresser?,['No'],1.0,2,2,"[1, 600]","[0, 425]",floorplan229_18_614_1747089320,1.0,1.0,0.0,3.0
floorplan229_22_756_1746788037_q40,Is RemoteControl on the CoffeeTable?,['No'],0.0,2,2,"[855, 994]","[619, 717]",floorplan229_22_756_1746788037,0.0,1.0,0.0,1.0
floorplan220_14_459_1745999102_q15,How many times did you move RemoteControl?,[3],0.0,3,6,"[100, 101, 269, 270, 454, 455]","[72, 195, 334]",floorplan220_14_459_1745999102,1.0,0.0,0.0,1.0
floorplan201_12_445_1746046052_q10,Is KeyChain on the TVStand?,['No'],0.0,2,2,"[1, 159]","[0, 112]",floorplan201_12_445_1746046052,1.0,1.0,0.0,2.0
floorplan323_19_802_1747083560_q23,Is CellPhone on the Bed?,['No'],1.0,2,2,"[1, 359]","[0, 281]",floorplan323_19_802_1747083560,1.0,1.0,1.0,3.0
floorplan216_20_416_1746045195_q18,Is RemoteControl on the Sofa?,['No'],0.0,2,2,"[90, 458]","[59, 315]",floorplan216_20_416_1746045195,0.0,1.0,0.0,1.0
floorplan210_22_741_1746800271_q4,Where did you move the RemoteControl from the Dresser?,['Sofa'],1.0,2,4,"[19, 20, 37, 38]","[15, 29]",floorplan210_22_741_1746800271,0.0,0.0,1.0,1.0
floorplan204_14_640_1744937110_q4,Is CellPhone on the Desk?,['No'],1.0,2,2,"[1, 762]","[0, 556]",floorplan204_14_640_1744937110,1.0,1.0,1.0,3.0
floorplan210_24_847_1747019970_q46,How many times did you move Pillow?,[2],1.0,2,4,"[636, 637, 656, 657]","[476, 489]",floorplan210_24_847_1747019970,1.0,0.0,0.0,2.0
floorplan18_18_657_1747219088_q19,Is Knife in the Drawer?,['No'],1.0,2,2,"[225, 851]","[175, 615]",floorplan18_18_657_1747219088,0.0,1.0,1.0,2.0
floorplan229_14_437_1745957927_q15,Is KeyChain on the SideTable?,['No'],1.0,2,2,"[1, 578]","[0, 403]",floorplan229_14_437_1745957927,1.0,1.0,1.0,3.0
floorplan9_31_693_1747150877_q19,Is ButterKnife on the DiningTable?,['No'],1.0,2,2,"[1, 304]","[0, 199]",floorplan9_31_693_1747150877,0.0,1.0,0.0,2.0
floorplan18_12_465_1745198823_q29,Where did you move the Potato from the DiningTable?,['Sink'],0.0,2,4,"[498, 499, 530, 531]","[345, 369]",floorplan18_12_465_1745198823,0.0,1.0,0.0,1.0
floorplan210_24_847_1747019970_q27,Where was Statue before you put it to Dresser?,['CoffeeTable'],0.0,2,4,"[804, 805, 849, 850]","[602, 637]",floorplan210_24_847_1747019970,1.0,1.0,0.0,2.0
floorplan213_13_442_1746335424_q7,Where was RemoteControl before you put it to CoffeeTable?,['Sofa'],0.0,2,4,"[294, 295, 307, 308]","[218, 227]",floorplan213_13_442_1746335424,1.0,1.0,0.0,2.0
floorplan204_14_640_1744937110_q10,Where was RemoteControl before you put it to Sofa?,['DiningTable'],0.0,2,4,"[539, 540, 583, 584]","[397, 431]",floorplan204_14_640_1744937110,1.0,0.0,0.0,1.0
floorplan215_13_446_1745401264_q9,Where did you move the RemoteControl from the Sofa?,['CoffeeTable'],0.0,2,4,"[155, 156, 176, 177]","[114, 129]",floorplan215_13_446_1745401264,0.0,1.0,0.0,1.0
floorplan218_13_604_1744950483_q5,Is RemoteControl on the Dresser?,['No'],1.0,2,2,"[653, 820]","[490, 603]",floorplan218_13_604_1744950483,1.0,0.0,1.0,2.0
floorplan211_32_822_1746985748_q36,Is Newspaper in the GarbageCan?,['No'],1.0,2,2,"[550, 1144]","[387, 801]",floorplan211_32_822_1746985748,0.0,1.0,0.0,2.0
floorplan210_17_804_1746994276_q13,Is Watch on the CoffeeTable?,['No'],0.0,2,2,"[139, 571]","[107, 434]",floorplan210_17_804_1746994276,0.0,1.0,0.0,1.0
floorplan204_22_714_1746840963_q35,Is Vase on the Desk?,['No'],1.0,2,2,"[551, 840]","[396, 606]",floorplan204_22_714_1746840963,0.0,1.0,0.0,2.0
floorplan218_18_800_1746997071_q5,Is CreditCard on the DiningTable?,['No'],0.0,2,2,"[851, 1075]","[642, 799]",floorplan218_18_800_1746997071,0.0,1.0,0.0,1.0
floorplan218_11_699_1745402568_q10,Is CellPhone on the DiningTable?,['No'],1.0,2,2,"[258, 835]","[204, 643]",floorplan218_11_699_1745402568,0.0,1.0,0.0,2.0
floorplan223_17_453_1745400822_q15,Is Candle on the DiningTable?,['No'],1.0,2,2,"[195, 616]","[139, 426]",floorplan223_17_453_1745400822,0.0,1.0,0.0,2.0
floorplan215_15_472_1746024565_q19,Is Vase on the CoffeeTable?,['No'],0.0,2,2,"[204, 270]","[149, 197]",floorplan215_15_472_1746024565,1.0,0.0,0.0,1.0
floorplan321_26_629_1745035560_q19,Is TissueBox on the DiningTable?,['No'],1.0,2,2,"[1, 887]","[0, 606]",floorplan321_26_629_1745035560,0.0,1.0,1.0,2.0
floorplan323_19_802_1747083560_q8,Is Mug on the Dresser?,['No'],1.0,2,2,"[89, 129]","[74, 103]",floorplan323_19_802_1747083560,1.0,1.0,0.0,3.0
floorplan211_32_841_1747100482_q45,Is Newspaper on the Sofa?,['No'],0.0,2,2,"[881, 908]","[611, 633]",floorplan211_32_841_1747100482,0.0,1.0,0.0,1.0
floorplan18_18_657_1747219088_q21,Where was Tomato before you put it to Fridge?,['CounterTop'],1.0,2,4,"[480, 481, 495, 496]","[365, 376]",floorplan18_18_657_1747219088,1.0,1.0,0.0,3.0
floorplan210_26_769_1746905698_q34,Is Newspaper on the Ottoman?,['No'],1.0,2,2,"[962, 1001]","[686, 710]",floorplan210_26_769_1746905698,0.0,1.0,1.0,2.0
floorplan215_23_701_1746907273_q14,Where did you move the Statue from the Shelf?,['SideTable'],1.0,2,4,"[173, 174, 193, 194]","[125, 139]",floorplan215_23_701_1746907273,1.0,1.0,1.0,3.0
floorplan202_17_427_1746001351_q20,Where did you move the Laptop from the CoffeeTable?,['SideTable'],0.0,2,4,"[281, 282, 301, 302]","[196, 212]",floorplan202_17_427_1746001351,0.0,1.0,0.0,1.0
floorplan311_13_434_1746113811_q8,Is CD on the ArmChair?,['No'],1.0,2,2,"[1, 162]","[0, 121]",floorplan311_13_434_1746113811,1.0,1.0,1.0,3.0
floorplan230_11_503_1746036310_q12,Where did you move the RemoteControl from the CoffeeTable?,['Sofa'],0.0,2,4,"[125, 126, 155, 156]","[94, 116]",floorplan230_11_503_1746036310,0.0,1.0,0.0,1.0
floorplan230_9_507_1746931717_q6,Where did you move the Newspaper from the CoffeeTable?,['DiningTable'],0.0,2,4,"[18, 19, 64, 65]","[12, 48]",floorplan230_9_507_1746931717,0.0,1.0,0.0,1.0
floorplan230_14_713_1746889211_q28,Where did you move the RemoteControl from the SideTable?,['DiningTable'],0.0,2,4,"[867, 868, 913, 914]","[625, 661]",floorplan230_14_713_1746889211,0.0,1.0,0.0,1.0
floorplan215_15_472_1746024565_q18,Is Vase on the Shelf?,['No'],1.0,2,2,"[1, 270]","[0, 197]",floorplan215_15_472_1746024565,1.0,1.0,1.0,3.0
floorplan11_24_422_1744641083_q10,Where did you move the Spatula from the Sink?,['CounterTop'],0.0,2,4,"[44, 45, 59, 60]","[29, 40]",floorplan11_24_422_1744641083,1.0,1.0,0.0,2.0
floorplan9_31_709_1747114738_q40,How many times did you move Spatula?,[2],0.0,2,4,"[250, 251, 921, 922]","[161, 605]",floorplan9_31_709_1747114738,0.0,1.0,0.0,1.0
floorplan227_25_773_1746867246_q25,Where did you move the Newspaper from the DiningTable?,['Sofa'],0.0,2,4,"[252, 253, 273, 274]","[183, 198]",floorplan227_25_773_1746867246,0.0,1.0,0.0,1.0
floorplan13_16_427_1745291369_q49,Is Egg in the Sink?,['No'],0.0,2,2,"[383, 423]","[267, 294]",floorplan13_16_427_1745291369,0.0,1.0,0.0,1.0
floorplan230_9_507_1746931717_q23,Where did you move the CreditCard from the Sofa?,['SideTable'],0.0,2,4,"[312, 313, 377, 378]","[236, 289]",floorplan230_9_507_1746931717,1.0,1.0,0.0,2.0
floorplan11_24_422_1744641083_q8,How many times did you move Spoon?,[8],0.0,8,16,"[12, 13, 111, 112, 187, 188, 234, 235, 504, 505, 523, 524, 571, 572, 590, 591]","[6, 78, 127, 156, 334, 350, 380, 396]",floorplan11_24_422_1744641083,0.0,0.0,0.0,0.0
floorplan201_19_686_1746847543_q12,How many times did you move Plate?,[2],1.0,2,4,"[10, 11, 24, 25]","[6, 15]",floorplan201_19_686_1746847543,0.0,1.0,0.0,2.0
floorplan209_21_641_1746939338_q16,Is Book on the Sofa?,['No'],0.0,2,2,"[214, 737]","[146, 527]",floorplan209_21_641_1746939338,0.0,1.0,1.0,1.0
floorplan230_11_498_1745411198_q14,Is RemoteControl on the ArmChair?,['No'],0.0,2,2,"[475, 504]","[340, 362]",floorplan230_11_498_1745411198,0.0,1.0,0.0,1.0
floorplan26_30_702_1747072764_q34,How many times did you move Tomato?,[4],0.0,4,8,"[394, 395, 598, 599, 752, 753, 837, 838]","[263, 396, 504, 561]",floorplan26_30_702_1747072764,0.0,1.0,0.0,1.0
floorplan213_23_834_1747086262_q12,Where did you move the Book from the CoffeeTable?,['Drawer'],0.0,2,4,"[54, 55, 72, 73]","[39, 55]",floorplan213_23_834_1747086262,0.0,1.0,1.0,1.0
floorplan204_11_488_1746010864_q4,Where did you move the CreditCard from the Shelf?,['Desk'],0.0,2,4,"[34, 35, 69, 70]","[26, 51]",floorplan204_11_488_1746010864,0.0,1.0,0.0,1.0
floorplan221_15_436_1745405876_q12,Where did you move the CreditCard from the SideTable?,['CoffeeTable'],0.0,2,4,"[68, 69, 82, 83]","[45, 55]",floorplan221_15_436_1745405876,1.0,1.0,0.0,2.0
floorplan7_23_794_1747205386_q2,What did you slice?,"['Apple', 'Tomato']",0.0,2,4,"[463, 464, 757, 758]","[325, 546]",floorplan7_23_794_1747205386,0.5,0.5,0.0,1.0
floorplan306_15_455_1746260330_q14,Is CD on the Desk?,['No'],1.0,2,2,"[476, 643]","[329, 454]",floorplan306_15_455_1746260330,0.0,1.0,0.0,2.0
floorplan306_15_455_1746260330_q7,Is Pen on the Desk?,['No'],1.0,2,2,"[1, 273]","[0, 184]",floorplan306_15_455_1746260330,0.0,0.0,0.0,1.0
floorplan26_30_702_1747072764_q36,Is Apple in the GarbageCan?,['No'],1.0,2,2,"[1, 654]","[0, 434]",floorplan26_30_702_1747072764,1.0,1.0,1.0,3.0
floorplan321_26_629_1745035560_q28,Is Pencil on the DiningTable?,['No'],0.0,2,2,"[397, 922]","[265, 628]",floorplan321_26_629_1745035560,0.0,1.0,1.0,1.0
floorplan211_17_433_1745422978_q25,Where was RemoteControl before you put it to ArmChair?,['Sofa'],0.0,2,4,"[528, 529, 549, 550]","[370, 387]",floorplan211_17_433_1745422978,0.0,1.0,0.0,1.0
floorplan210_25_865_1747054518_q12,Is Newspaper on the Dresser?,['No'],1.0,2,2,"[1076, 1102]","[785, 804]",floorplan210_25_865_1747054518,0.0,1.0,0.0,2.0
floorplan211_17_426_1745423379_q31,Where did you move the Plate from the SideTable?,['CoffeeTable'],0.0,2,4,"[252, 253, 283, 284]","[168, 193]",floorplan211_17_426_1745423379,0.0,1.0,0.0,1.0
floorplan323_19_730_1746848930_q19,Is Pencil on the Desk?,['No'],0.0,2,2,"[1, 367]","[0, 280]",floorplan323_19_730_1746848930,0.0,1.0,0.0,1.0
floorplan218_17_889_1747021157_q14,Where was Plate before you put it to DiningTable?,['CoffeeTable'],0.0,2,4,"[547, 548, 622, 623]","[426, 487]",floorplan218_17_889_1747021157,1.0,0.0,0.0,1.0
floorplan215_14_422_1746006324_q32,Where was CreditCard before you put it to Shelf?,['CoffeeTable'],0.0,2,4,"[477, 478, 493, 494]","[348, 360]",floorplan215_14_422_1746006324,1.0,0.0,1.0,1.0
floorplan230_13_700_1746917689_q28,Where did you move the Candle from the SideTable?,['DiningTable'],0.0,2,4,"[896, 897, 941, 942]","[664, 699]",floorplan230_13_700_1746917689,1.0,1.0,1.0,2.0
floorplan221_27_826_1746972286_q15,Where did you move the Statue from the CoffeeTable?,['SideTable'],0.0,2,4,"[178, 179, 194, 195]","[125, 137]",floorplan221_27_826_1746972286,1.0,0.0,0.0,1.0
floorplan230_11_498_1745411198_q35,How many times did you move TissueBox?,[2],1.0,2,4,"[547, 548, 571, 572]","[397, 412]",floorplan230_11_498_1745411198,1.0,1.0,0.0,3.0
floorplan323_19_802_1747083560_q7,Is Mug on the SideTable?,['No'],1.0,2,2,"[1, 129]","[0, 103]",floorplan323_19_802_1747083560,0.0,1.0,1.0,2.0
floorplan218_10_567_1745407406_q12,Where did you move the Plate from the DiningTable?,['SideTable'],0.0,2,4,"[185, 186, 246, 247]","[145, 192]",floorplan218_10_567_1745407406,1.0,0.0,0.0,1.0
floorplan303_28_701_1746815644_q38,Where did you move the AlarmClock from the Dresser?,['Desk'],0.0,2,4,"[362, 363, 385, 386]","[251, 268]",floorplan303_28_701_1746815644,1.0,1.0,1.0,2.0
floorplan18_12_465_1745198823_q32,Is Potato in the Sink?,['No'],1.0,2,2,"[1, 577]","[0, 404]",floorplan18_12_465_1745198823,0.0,1.0,1.0,2.0
floorplan229_21_735_1746921416_q6,Is Book on the CoffeeTable?,['No'],1.0,2,2,"[106, 831]","[80, 613]",floorplan229_21_735_1746921416,0.0,0.0,0.0,1.0
floorplan204_19_719_1746845878_q15,Is CreditCard on the Desk?,['No'],0.0,2,2,"[403, 922]","[294, 666]",floorplan204_19_719_1746845878,0.0,1.0,0.0,1.0
floorplan314_16_421_1744810639_q26,Where was Pencil before you put it to GarbageCan?,['Desk'],0.0,2,4,"[351, 352, 382, 383]","[239, 260]",floorplan314_16_421_1744810639,1.0,0.0,0.0,1.0
floorplan210_16_441_1746043075_q22,Is CreditCard in the Drawer?,['No'],1.0,2,2,"[330, 565]","[235, 408]",floorplan210_16_441_1746043075,0.0,1.0,0.0,2.0
floorplan218_20_823_1747084244_q19,How many times did you move Statue?,[2],0.0,2,4,"[92, 93, 581, 582]","[62, 414]",floorplan218_20_823_1747084244,1.0,0.0,0.0,1.0
floorplan218_17_749_1746865593_q25,Where did you move the CellPhone from the CoffeeTable?,['Sofa'],0.0,2,4,"[479, 480, 502, 503]","[360, 375]",floorplan218_17_749_1746865593,1.0,1.0,0.0,2.0
floorplan303_28_811_1747035692_q54,Is CD on the Dresser?,['No'],1.0,2,2,"[1, 1050]","[0, 740]",floorplan303_28_811_1747035692,0.0,0.0,0.0,1.0
floorplan314_17_418_1744520906_q35,Is CD in the Drawer?,['No'],1.0,2,2,"[491, 526]","[336, 362]",floorplan314_17_418_1744520906,0.0,1.0,1.0,2.0
floorplan303_28_701_1746815644_q9,Is Cloth on the Dresser?,['No'],1.0,2,2,"[415, 986]","[290, 681]",floorplan303_28_701_1746815644,0.0,0.0,1.0,1.0
floorplan210_22_741_1746800271_q33,Is Pillow on the Ottoman?,['No'],1.0,2,2,"[533, 1022]","[388, 740]",floorplan210_22_741_1746800271,0.0,1.0,0.0,2.0
floorplan305_30_633_1745061112_q48,Where did you move the BasketBall from the Ground?,['Bed'],1.0,2,4,"[656, 657, 676, 677]","[444, 458]",floorplan305_30_633_1745061112,0.0,1.0,1.0,2.0
floorplan201_26_812_1747064607_q34,Where did you move the Bowl from the DiningTable?,['SideTable'],0.0,2,4,"[889, 890, 901, 902]","[632, 640]",floorplan201_26_812_1747064607,1.0,0.0,0.0,1.0
floorplan212_18_424_1745965456_q11,Where did you move the Newspaper from the ArmChair?,['Sofa'],0.0,2,4,"[50, 51, 74, 75]","[31, 47]",floorplan212_18_424_1745965456,0.0,1.0,0.0,1.0
floorplan229_14_437_1745957927_q28,Where did you move the TissueBox from the SideTable?,['CoffeeTable'],0.0,2,4,"[375, 376, 410, 411]","[263, 288]",floorplan229_14_437_1745957927,0.0,1.0,0.0,1.0
floorplan213_25_705_1746974789_q30,Is Watch on the DiningTable?,['No'],1.0,2,2,"[552, 578]","[400, 423]",floorplan213_25_705_1746974789,0.0,1.0,0.0,2.0
floorplan314_16_421_1744810639_q13,Where did you move the Pen from the Desk?,['Drawer'],1.0,2,4,"[39, 40, 56, 57]","[28, 37]",floorplan314_16_421_1744810639,0.0,1.0,1.0,2.0
floorplan211_26_726_1746786652_q36,Where did you move the Vase from the Shelf?,['CoffeeTable'],0.0,2,4,"[664, 665, 676, 677]","[469, 477]",floorplan211_26_726_1746786652,0.0,1.0,0.0,1.0
floorplan303_28_701_1746815644_q30,Is CreditCard on the Dresser?,['No'],0.0,2,2,"[1, 915]","[0, 632]",floorplan303_28_701_1746815644,1.0,1.0,1.0,2.0
floorplan323_15_654_1745056238_q19,Where did you move the Pencil from the SideTable?,['Desk'],0.0,2,4,"[239, 240, 261, 262]","[189, 207]",floorplan323_15_654_1745056238,0.0,1.0,0.0,1.0
floorplan323_11_501_1746090509_q9,How many times did you move Bowl?,[3],0.0,3,6,"[87, 88, 381, 382, 490, 491]","[66, 290, 373]",floorplan323_11_501_1746090509,0.0,1.0,0.0,1.0
floorplan213_25_705_1746974789_q21,Is Book on the Dresser?,['No'],1.0,2,2,"[1, 733]","[0, 536]",floorplan213_25_705_1746974789,1.0,0.0,1.0,2.0
floorplan210_23_877_1747091726_q25,Is RemoteControl in the Drawer?,['No'],0.0,2,2,"[175, 885]","[125, 652]",floorplan210_23_877_1747091726,0.0,1.0,0.0,1.0
floorplan202_18_450_1744426417_q11,Is CreditCard on the SideTable?,['No'],0.0,2,2,"[349, 465]","[237, 313]",floorplan202_18_450_1744426417,0.0,1.0,0.0,1.0
floorplan221_27_826_1746972286_q30,Where was RemoteControl before you put it to SideTable?,['CoffeeTable'],0.0,2,4,"[1024, 1025, 1063, 1064]","[703, 730]",floorplan221_27_826_1746972286,1.0,1.0,0.0,2.0
floorplan210_19_618_1746864406_q18,Where did you move the Statue from the Dresser?,['CoffeeTable'],0.0,2,4,"[342, 343, 387, 388]","[250, 287]",floorplan210_19_618_1746864406,1.0,1.0,1.0,2.0
floorplan201_12_493_1745419940_q26,Is TissueBox on the CoffeeTable?,['No'],1.0,2,2,"[1, 674]","[0, 492]",floorplan201_12_493_1745419940,1.0,1.0,0.0,3.0
floorplan210_15_464_1744755675_q8,Is KeyChain in the Drawer?,['No'],1.0,2,2,"[460, 526]","[331, 375]",floorplan210_15_464_1744755675,0.0,1.0,1.0,2.0
floorplan204_22_714_1746840963_q38,How many times did you move Vase?,[2],1.0,2,4,"[516, 517, 820, 821]","[372, 591]",floorplan204_22_714_1746840963,1.0,1.0,0.0,3.0
floorplan314_17_418_1744520906_q18,Is Pencil in the GarbageCan?,['No'],1.0,2,2,"[1, 550]","[0, 377]",floorplan314_17_418_1744520906,1.0,1.0,1.0,3.0
floorplan323_12_521_1746288027_q19,Where did you move the KeyChain from the SideTable?,['Desk'],1.0,2,4,"[363, 364, 400, 401]","[281, 308]",floorplan323_12_521_1746288027,1.0,1.0,1.0,3.0
floorplan7_23_794_1747205386_q42,Is ButterKnife in the Sink?,['No'],1.0,2,2,"[311, 504]","[220, 355]",floorplan7_23_794_1747205386,0.0,1.0,1.0,2.0
floorplan9_20_418_1744602985_q45,Is Lettuce on the CounterTop?,['No'],0.0,2,2,"[488, 517]","[307, 325]",floorplan9_20_418_1744602985,0.0,1.0,0.0,1.0
floorplan311_13_434_1746113811_q36,Is Bowl on the Dresser?,['No'],1.0,2,2,"[430, 566]","[307, 404]",floorplan311_13_434_1746113811,0.0,0.0,0.0,1.0
floorplan209_15_431_1745402895_q41,Where did you move the Book from the Dresser?,['SideTable'],0.0,2,4,"[585, 586, 606, 607]","[417, 430]",floorplan209_15_431_1745402895,1.0,1.0,1.0,2.0
